Measure,Sensor,tu,ts,d,acy
3,157,1364750000000,1402496028401,0.9758537,0
3,74,1364750000000,1402496028434,0.69275033,0
3,157,1365000000000,1402496028650,0.9758537,0
3,74,1365000000000,1402496028686,0.69275033,0
3,157,1365250000000,1402496028900,0.9758537,0
3,74,1365250000000,1402496028957,0.69275033,0
3,157,1366000000000,1402496029160,0.9758537,0
3,74,1366000000000,1402496029197,0.69275033,0
3,157,1366250000000,1402496029398,0.9758537,0
3,74,1366250000000,1402496029452,0.69275033,0
3,157,1366500000000,1402496029648,1.2534193,0
3,74,1366500000000,1402496029698,0.69275033,0
3,157,1366750000000,1402496029908,1.5155014,0
3,74,1366750000000,1402496029947,0.69275033,0
3,157,1367000000000,1402496030150,1.5155014,0
3,74,1367000000000,1402496030195,0.69275033,0
3,157,1367250000000,1402496030401,1.5155014,0
3,74,1367250000000,1402496030442,0.69275033,0
3,157,1368000000000,1402496030652,1.2657748,0
3,74,1368000000000,1402496030698,0.69275033,0
3,157,1368250000000,1402496030907,1.1648122,0
3,74,1368250000000,1402496030956,0.69275033,0
3,157,1368500000000,1402496031152,1.1648122,0
3,74,1368500000000,1402496031205,0.71918476,0
3,157,1368750000000,1402496031407,1.1648122,0
